elaboracion,raciones,unidad_racion,pvp,ingrediente,cantidad,unidad,merma_pct
Flat white,1,ud,2.90,Café espresso blend,0.018,kg,2
Flat white,1,ud,2.90,Leche entera,0.15,l,0
Flat white con avena,1,ud,3.30,Café espresso blend,0.018,kg,2
Flat white con avena,1,ud,3.30,Bebida de avena barista,0.15,l,0
Café filtro V60,1,ud,3.20,Café filtro origen,0.017,kg,2
Cortado,1,ud,1.80,Café espresso blend,0.009,kg,2
Cortado,1,ud,1.80,Leche entera,0.04,l,0
Tostada de aguacate,1,ud,7.50,Pan de masa madre,0.12,ud,0
Tostada de aguacate,1,ud,7.50,Aguacate,0.09,kg,35
Tostada de aguacate,1,ud,7.50,Tomate rama,0.05,kg,10
Tostada de aguacate,1,ud,7.50,Limón,0.01,kg,45
Tostada de aguacate,1,ud,7.50,Aceite de oliva virgen extra,0.008,l,0
Tostada de aguacate,1,ud,7.50,Sal fina,0.001,kg,0
Huevos revueltos con focaccia,1,ud,8.90,Huevo campero,3,ud,3
Huevos revueltos con focaccia,1,ud,8.90,Focaccia bandeja,0.12,ud,0
Huevos revueltos con focaccia,1,ud,8.90,Mantequilla sin sal,0.012,kg,0
Huevos revueltos con focaccia,1,ud,8.90,Espinaca baby,0.03,kg,8
Huevos revueltos con focaccia,1,ud,8.90,Sal fina,0.001,kg,0
Croissant,1,ud,2.40,Croissant congelado,1,ud,4
Bollo de canela,1,ud,3.10,Bollo de canela congelado,1,ud,4
Cookie de chocolate,24,ud,2.60,Harina de trigo,0.62,kg,0
Cookie de chocolate,24,ud,2.60,Mantequilla sin sal,0.34,kg,0
Cookie de chocolate,24,ud,2.60,Azúcar blanco,0.38,kg,0
Cookie de chocolate,24,ud,2.60,Huevo campero,3,ud,0
Cookie de chocolate,24,ud,2.60,Chocolate 70% cobertura,0.30,kg,0
Cookie de chocolate,24,ud,2.60,Sal fina,0.006,kg,0
Batido de plátano,1,ud,4.80,Plátano,0.16,kg,32
Batido de plátano,1,ud,4.80,Leche entera,0.20,l,0
Batido de plátano,1,ud,4.80,Sirope de vainilla,0.015,l,0
Chocolate caliente,1,ud,3.60,Leche entera,0.22,l,0
Chocolate caliente,1,ud,3.60,Chocolate 70% cobertura,0.035,kg,0
Chocolate caliente,1,ud,3.60,Nata 35% MG,0.02,l,0
